year;date;day;month;id_st;lat;lon;farm_ID;inf_presente;dis_sea;dem;cum_max30;cum_avg26;avg_max_7d;avg_min_7d;avg_avg_7d;cum_prec;s_day_frost;s_min_avg;s_mean_avg;s_prec_cum;w_day_frost;w_min_avg;w_mean_avg;w_prec_cum;idr_bal_4;idr_bal_30d;gdd_oli;cum_gdd;doy;perc_inf
2004;38208;9;8;3590;43.99189;10.20705;1384;inf;4987.374512;66.96112823;0;0;24.26455714;19.40935714;21.83695714;83.5077;1;7.975666304;10.48908207;328.3146;2;5.8089;7.904785537;682.501;-64.63451076;-55.59918917;1646.215;755.0527;222;60
2004;38201;2;8;3590;43.99189;10.20705;1384;inf;4987.374512;66.96112823;0;0;23.9201;18.60937143;21.26473571;73.4369;1;7.975666304;10.48908207;328.3146;2;5.8089;7.904785537;682.501;-53.22840768;-66.0139373;1527.66795;664.43565;215;60
2004;38194;26;7;3590;43.99189;10.20705;1384;no;4987.374512;66.96112823;0;0;25.22758571;19.23228571;22.22993571;72.6338;1;7.975666304;10.48908207;328.3146;2;5.8089;7.904785537;682.501;-31.26838701;-69.09476841;1414.254;578.9517;208;60
2004;38187;19;7;3590;43.99189;10.20705;1384;no;4987.374512;66.96112823;0;0;22.11642857;15.89671429;19.00657143;41.4063;1;7.975666304;10.48908207;328.3146;2;5.8089;7.904785537;682.501;-36.95807683;-82.86930539;1294.2149;486.8426;201;60
2004;38180;12;7;3590;43.99189;10.20705;1384;no;4987.374512;66.96112823;0;0;22.80894286;17.28905714;20.049;40.7204;1;7.975666304;10.48908207;328.3146;2;5.8089;7.904785537;682.501;-12.969053;-75.41998753;1190.728;411.2857;194;60
2004;38173;5;7;3590;43.99189;10.20705;1384;no;4987.374512;66.96112823;0;0;23.3727;18.54322857;20.95796429;35.7932;1;7.975666304;10.48908207;328.3146;2;5.8089;7.904785537;682.501;5.209208894;-76.46215732;1087.75;336.2377;187;60
2004;38225;26;8;3590;44.00425;10.15183;1712;no;2770.98999;2.111222506;0;0;23.38707143;18.9796;21.18333571;116.6534;1;7.975666304;10.48908207;328.3146;2;5.8089;7.904785537;682.501;-79.31136812;-48.6160757;1930.23255;971.24025;239;60
2004;38218;19;8;3590;44.00425;10.15183;1712;inf;2770.98999;2.111222506;0;0;24.5098;19.64222857;22.07601429;101.9871;1;7.975666304;10.48908207;328.3146;2;5.8089;7.904785537;682.501;-75.4542659;-40.75648213;1819.8248;888.7625;232;60
2004;38210;11;8;3590;44.00425;10.15183;1712;no;2770.98999;2.111222506;0;0;24.64227143;19.72202857;22.18215;84.8031;1;7.975666304;10.48908207;328.3146;2;5.8089;7.904785537;682.501;-69.50612264;-57.05506316;1682.06415;782.92185;224;60
2004;38204;5;8;3590;44.00425;10.15183;1712;no;2770.98999;2.111222506;0;0;24.08615714;18.75895714;21.42255714;80.3173;1;7.975666304;10.48908207;328.3146;2;5.8089;7.904785537;682.501;-55.58085405;-63.31314958;1578.991;703.7887;218;60
2004;38197;29;7;3590;44.00425;10.15183;1712;no;2770.98999;2.111222506;0;0;24.71717143;19.08528571;21.90122857;72.9659;1;7.975666304;10.48908207;328.3146;2;5.8089;7.904785537;682.501;-40.21051221;-65.08475088;1462.4157;615.1434;211;60
2004;38190;22;7;3590;44.00425;10.15183;1712;no;2770.98999;2.111222506;0;0;23.87355714;17.97601429;20.92478571;41.4076;1;7.975666304;10.48908207;328.3146;2;5.8089;7.904785537;682.501;-48.21239447;-94.6904221;1345.16725;525.82495;204;60
2004;38182;14;7;3590;44.00425;10.15183;1712;no;2770.98999;2.111222506;0;0;21.84775714;16.72752857;19.28764286;41.399;1;7.975666304;10.48908207;328.3146;2;5.8089;7.904785537;682.501;-19.41071534;-78.95813258;1216.87965;429.45735;196;60
2004;38172;4;7;3590;44.00425;10.15183;1712;no;2770.98999;2.111222506;0;0;23.5574;18.79085714;21.17412857;35.7932;1;7.975666304;10.48908207;328.3146;2;5.8089;7.904785537;682.501;9.203922924;-76.23203183;1072.84565;325.32335;186;60
